IATA,FR name,EN name,Province,AUTO/MAN,Latitude,Longitude,Elevation,ICAO,WMO,MSC,DST Time Zone / Fuseau horaire été, STD Time Zone / Fuseau horaire heure normale,Data Provider,Data Attribution Notice
131,MUSKWA,MUSKWA,BC,AUTO,57.88425,-123.6163,780,,,BC_WMB_131,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
132,HUDSON HOPE,HUDSON HOPE,BC,AUTO,56.0347,-121.99021,704,,,BC_WMB_132,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
136,WONOWON,WONOWON,BC,AUTO,56.7185,-121.76543,967,,,BC_WMB_136,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
138,RED DEER,RED DEER,BC,AUTO,54.63303,-120.57621,1306,,,BC_WMB_138,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
140,LEMORAY,LEMORAY,BC,AUTO,55.52498,-122.5171,757,,,BC_WMB_140,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
141,MANSON,MANSON,BC,AUTO,55.57988,-124.23198,1047,,,BC_WMB_141,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
144,TABLE RIVER,TABLE RIVER,BC,AUTO,54.71617,-122.27417,760,,,BC_WMB_144,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
145,INGENIKA POINT,INGENIKA POINT,BC,AUTO,57.01942,-125.18039,1213,,,BC_WMB_145,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
146,FORT ST JAMES,FORT ST JAMES,BC,AUTO,54.39408,-124.26097,750,,,BC_WMB_146,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
148,BLACKPINE,BLACKPINE,BC,AUTO,56.31878,-125.36797,1126,,,BC_WMB_148,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
149,BEAR LAKE,BEAR LAKE,BC,AUTO,54.50922,-122.69103,739,,,BC_WMB_149,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
151,NABESHE,NABESHE,BC,AUTO,56.36433,-123.36556,1108,,,BC_WMB_151,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
152,SIFTON,SIFTON,BC,AUTO,57.85175,-126.11676,985,,,BC_WMB_152,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
153,MCLEOD LAKE,MCLEOD LAKE,BC,AUTO,54.72553,-123.07867,915,,,BC_WMB_153,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
154,WITCH,WITCH,BC,AUTO,55.02303,-124.26661,1030,,,BC_WMB_154,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
155,MACKENZIE FS,MACKENZIE FS,BC,AUTO,55.32211,-123.09317,690,,,BC_WMB_155,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
156,SUSTUT,SUSTUT,BC,AUTO,56.32873,-127.03425,871,,,BC_WMB_156,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
158,VANDERHOOF HUB,VANDERHOOF HUB,BC,AUTO,54.05581,-124.00886,678,,,BC_WMB_158,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
159,NORTH CHILCO,NORTH CHILCO,BC,AUTO,54.15463,-123.75413,850,,,BC_WMB_159,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
161,GRASSY PLAINS HUB,GRASSY PLAINS HUB,BC,AUTO,53.94538,-125.87607,944,,,BC_WMB_161,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
162,HOUSTON(DUNGATE),HOUSTON(DUNGATE),BC,AUTO,54.3939,-126.61757,608,,,BC_WMB_162,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
163,LOVELL COVE,LOVELL COVE,BC,AUTO,55.68822,-126.05261,990,,,BC_WMB_163,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
165,MOOSE LAKE,MOOSE LAKE,BC,AUTO,53.07146,-125.41215,1109,,,BC_WMB_165,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
166,KLUSKUS,KLUSKUS,BC,AUTO,53.38305,-124.51208,1137,,,BC_WMB_166,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
167,AUGIER LAKE,AUGIER LAKE,BC,AUTO,54.36188,-125.52535,918,,,BC_WMB_167,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
169,UPPER FULTON,UPPER FULTON,BC,AUTO,55.03395,-126.79967,900,,,BC_WMB_169,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
170,EAST OOTSA,EAST OOTSA,BC,AUTO,53.50243,-125.77932,1089,,,BC_WMB_170,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
171,LEO CREEK,LEO CREEK,BC,AUTO,55.08183,-125.4774,915,,,BC_WMB_171,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
172,NILKITKWA,NILKITKWA,BC,AUTO,55.53785,-126.57745,978,,,BC_WMB_172,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
173,NORTH BABINE,NORTH BABINE,BC,AUTO,55.13452,-126.20727,951,,,BC_WMB_173,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
175,BEDNESTI,BEDNESTI,BC,AUTO,53.86539,-123.32317,858,,,BC_WMB_175,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
178,PEDEN,PEDEN,BC,AUTO,53.98674,-126.51722,747,,,BC_WMB_178,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
179,NADINA,NADINA,BC,AUTO,53.94248,-126.92782,954,,,BC_WMB_179,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
180,MCBRIDE LAKE,MCBRIDE LAKE,BC,AUTO,54.07473,-127.39942,810,,,BC_WMB_180,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
181,BURNS LAKE 850M,BURNS LAKE 850M,BC,AUTO,54.2586,-125.7571,830,,,BC_WMB_181,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
182,GANOKWA,GANOKWA,BC,AUTO,54.80123,-126.94832,844,,,BC_WMB_182,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
183,PARROTT,PARROTT,BC,AUTO,54.01867,-126.38889,1259,,,BC_WMB_183,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
187,HIXON,HIXON,BC,AUTO,53.41128,-122.59575,615,,,BC_WMB_187,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
189,CHILAKO,CHILAKO,BC,AUTO,53.49378,-123.60878,814,,,BC_WMB_189,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
190,JERRY,JERRY,BC,AUTO,53.52594,-122.1055,997,,,BC_WMB_190,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
192,MCGREGOR 2,MCGREGOR 2,BC,AUTO,53.92889,-120.63569,975,,,BC_WMB_192,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
193,BOWRON HAGGEN,BOWRON HAGGEN,BC,AUTO,53.46314,-121.56033,945,,,BC_WMB_193,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
195,MCBRIDE,MCBRIDE,BC,AUTO,53.29483,-120.15278,716,,,BC_WMB_195,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
199,CATFISH,CATFISH,BC,AUTO,53.57644,-120.85844,866,,,BC_WMB_199,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
200,VALEMOUNT 2,VALEMOUNT 2,BC,AUTO,52.78805,-119.31481,1195,,,BC_WMB_200,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
201,HOLMES,HOLMES,BC,AUTO,53.34543,-119.71323,1179,,,BC_WMB_201,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
206,TAUTRI,TAUTRI,BC,AUTO,52.54222,-123.35,1085,,,BC_WMB_206,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
208,TATLA LAKE HUB,TATLA LAKE HUB,BC,AUTO,51.90667,-124.605,945,,,BC_WMB_208,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
209,ALEXIS CREEK,ALEXIS CREEK,BC,AUTO,52.08377,-123.27327,791,,,BC_WMB_209,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
210,RISKE CREEK,RISKE CREEK,BC,AUTO,51.95944,-122.50417,929,,,BC_WMB_210,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
211,NAZKO,NAZKO,BC,AUTO,52.9575,-123.5958,910,,,BC_WMB_211,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
212,PLACE LAKE,PLACE LAKE,BC,AUTO,51.81667,-122,1065,,,BC_WMB_212,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
213,ANAHIM LAKE HUB,ANAHIM LAKE HUB,BC,AUTO,52.45667,-125.30333,1096,,,BC_WMB_213,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
216,NEMIAH,NEMIAH,BC,AUTO,51.48,-123.81833,1220,,,BC_WMB_216,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
218,LONE BUTTE,LONE BUTTE,BC,AUTO,51.507,-121.162,1158,,,BC_WMB_218,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
221,BALDFACE,BALDFACE,BC,AUTO,52.7101,-124.48225,1666,,,BC_WMB_221,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
222,GASPARD,GASPARD,BC,AUTO,51.45167,-122.66167,1675,,,BC_WMB_222,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
225,KNIFE,KNIFE,BC,AUTO,52.04972,-121.87383,821,,,BC_WMB_225,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
226,MIDDLE LAKE,MIDDLE LAKE,BC,AUTO,51.70167,-124.875,915,,,BC_WMB_226,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
227,GAVIN,GAVIN,BC,AUTO,52.47,-121.74167,1081,,,BC_WMB_227,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
228,BENSON,BENSON,BC,AUTO,52.91,-122.065,1006,,,BC_WMB_228,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
230,HORSEFLY,HORSEFLY,BC,AUTO,52.33,-121.39667,701,,,BC_WMB_230,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
232,COLDSCAUR LAKE,COLDSCAUR LAKE,BC,AUTO,51.72378,-120.38993,1124,,,BC_WMB_232,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
233,TALCHAKO,TALCHAKO,BC,AUTO,52.25135,-126.02837,270,,,BC_WMB_233,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
234,TIMOTHY,TIMOTHY,BC,AUTO,51.913,-121.389,1161,,,BC_WMB_234,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
235,YOUNG LAKE,YOUNG LAKE,BC,AUTO,51.23777,-120.99762,1170,,,BC_WMB_235,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
236,MEADOW LAKE,MEADOW LAKE,BC,AUTO,51.375,-121.71667,1070,,,BC_WMB_236,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
